,Date,d20_ma_chg_zscore,d50_ma_chg_zscore,d200_ma_chg_zscore
11201,2017-07-17,-0.12189174464549458,0.012607724663493306,0.7550546401576905
11202,2017-07-18,0.0030807984641598317,0.06853607155839155,0.7906051601825208
11203,2017-07-19,0.07343297023036201,0.09404675332500444,0.8076398270706092
11204,2017-07-20,0.41787155990947866,0.31439963002276466,0.9385350490245917
11205,2017-07-21,0.5831977942581072,0.4154643924839177,1.0013432490101295
11206,2017-07-24,0.31369673422374134,0.2088152886983735,0.8873183839042282
11207,2017-07-25,0.31739372715696357,0.18012621127575376,0.8722492803477445
11208,2017-07-26,0.806540958811967,0.5037541613243368,1.0605816787733988
11209,2017-07-27,0.5802846586938291,0.3531086608514206,0.9799185111118842
11210,2017-07-28,0.625805099725878,0.39620774719529145,1.0079736918702418
11211,2017-07-31,0.77180406034827,0.5113655254758589,1.0781612786210766
11212,2017-08-01,0.7987106626366222,0.5537790862608156,1.1078711243215182
11213,2017-08-02,0.7468899845513176,0.5532591756307196,1.1113058464212322
11214,2017-08-03,0.8319796080393435,0.6445788376669885,1.1668727986177556
11215,2017-08-04,0.5901964852455144,0.5087090145638657,1.0908201325511722
11216,2017-08-07,0.5967797424739872,0.5391803675972214,1.1084983788938507
11217,2017-08-08,0.5800611787610351,0.5571389408609504,1.1191620149634876
11218,2017-08-09,0.48509842712512885,0.5211371877694281,1.0989320467113206
11219,2017-08-10,0.5101565525247329,0.5722891631785926,1.127781336517239
11220,2017-08-11,0.3336505652426525,0.47754366277234644,1.0728102889786695
11221,2017-08-14,0.4452672552988343,0.5897769292899555,1.1354624649520573
11222,2017-08-15,0.5747326068365366,0.7122529697542496,1.2061340534080716
11223,2017-08-16,0.6839542790820932,0.8231292303817601,1.271561948078377
11224,2017-08-17,0.3363954783009313,0.6056091770383417,1.1485913190435058
11225,2017-08-18,0.5569510427257135,0.7717454017503834,1.246249855125648
11226,2017-08-21,0.5881885317963232,0.816213621288291,1.2764643285085484
11227,2017-08-22,0.5871449658821054,0.8380606513678289,1.2957993058266095
11228,2017-08-23,0.2891116474911633,0.6352172596162713,1.1845148183533847
11229,2017-08-24,0.16986524889742918,0.5630970298564089,1.1458184350674054
11230,2017-08-25,0.2832429024161168,0.652485477357587,1.1990525150473395
11231,2017-08-28,0.3961647306569427,0.7407994219938928,1.247381729538414
11232,2017-08-29,0.31839840738523884,0.6927604596609076,1.2175159048670987
11233,2017-08-30,0.2562751162781519,0.6524710081347762,1.1919755263373866
11234,2017-08-31,0.20183116409340382,0.6084907408192821,1.166160681149732
11235,2017-09-01,0.09269629730861183,0.5328241630124119,1.121273803801358
11236,2017-09-05,0.08028223985981157,0.5260720905174712,1.1127788583758789
11237,2017-09-06,-0.3487403588638487,0.22641342842788822,0.9337769688105136
11238,2017-09-07,-0.1133634618250642,0.3827332252024095,1.0184531656431075
11239,2017-09-08,-0.37551022897017705,0.18575511730704164,0.9031352809698827
11240,2017-09-11,0.23487235661026737,0.6005613569487378,1.140620390414662
11241,2017-09-12,-0.24895485869854594,0.2505370225803268,0.940468162967745
11242,2017-09-13,-0.43777496470000354,0.09048785620183793,0.848564460505682
11243,2017-09-14,-0.1480105069548468,0.25431992637638995,0.9442616060369767
11244,2017-09-15,-0.0509773674309045,0.30049983807107444,0.9729914130575528
11245,2017-09-18,-0.40680547038547626,0.024096652148745012,0.8134547184069153
11246,2017-09-19,-0.4599162416693984,-0.04940829550052777,0.7673240166261585
11247,2017-09-20,-0.6639448259127507,-0.23342948552160192,0.658218065346157
11248,2017-09-21,-0.6262560529620753,-0.24468120694316267,0.6474948568717273
11249,2017-09-22,-0.683776879576521,-0.3202847512197069,0.6000087361999273
11250,2017-09-25,-0.5537713696510144,-0.2697964887281191,0.6241497743200981
11251,2017-09-26,-0.3364854460672959,-0.1645541730956271,0.681082470403253
11252,2017-09-27,-0.5943188903531766,-0.38236850149429813,0.5522565058899873
11253,2017-09-28,-0.40125232010453665,-0.2925921775691628,0.5985351305012054
11254,2017-09-29,-0.45259556629515313,-0.3631377982198961,0.5515371777436449
11255,2017-10-02,-0.3769472732400884,-0.3429993985934467,0.5534256802245962
11256,2017-10-03,-0.3100873888510506,-0.3323273152603037,0.552494358848517
11257,2017-10-04,0.04090584624246677,-0.11136372421627978,0.6731879522814167
11258,2017-10-05,-0.11170715801198862,-0.2316016836568799,0.5965192696918582
11259,2017-10-06,-0.16459091968819112,-0.28023915726210535,0.5613929711954967
11260,2017-10-09,-0.03681164710959467,-0.22761460763381478,0.5828694821076494
11261,2017-10-10,0.20307989122581446,-0.07720879166051849,0.6593134707858116
11262,2017-10-11,0.36249753060696477,0.03136233465963996,0.7124532913419087
11263,2017-10-12,0.5254360338369594,0.1365575370215308,0.7643327412322499
11264,2017-10-13,0.4888173324218811,0.1069710705738135,0.7386454523704942
11265,2017-10-16,0.6587944351180918,0.2293311315457374,0.8014459746323056
11266,2017-10-17,0.8497169977270764,0.37440875531274914,0.8774404764450044
11267,2017-10-18,0.7596159765059496,0.3413287948907953,0.8524445310966136
