Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,ten_3mo,ten_two,thirty_five,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,x,y,class
11/25/1998,1182.99,1187.16,1179.37,1186.87,1186.87,583580000,0.003269103,2,0.012357293,-0.238900689,1,0.26,0.17,0.56,0.06,-0.03,0.06,-0.02,-0.01,0.18,0.02,0.62,-0.26,1.6402974,-1.0066879,1
11/27/1998,1186.87,1192.97,1186.83,1192.33,1192.33,256950000,0.004579269,3,0.011712781,-0.660178307,1,0.26,0.19,0.56,0.06,-0.02,0.03,0.01,-0.03,0.2,0.01,0.61,-0.26,1.7224694,-0.99416983,1
11/30/1998,1192.33,1192.72,1163.63,1163.63,1163.63,687900000,-0.024664197,1,0.012484639,-0.086359341,2,0.17,0.2,0.57,0.01,-0.05,0.01,0,-0.03,0.19,0.04,0.59,-0.25,1.6598251,-0.9416886,1
12/1/1998,1163.63,1175.89,1150.31,1175.28,1175.28,789200000,0.009912531,2,0.012778232,0.047976716,3,0.18,0.23,0.63,0.02,-0.05,-0.02,0,-0.01,0.2,0.04,0.65,-0.26,1.6394428,-0.97881603,1
12/2/1998,1175.28,1175.28,1157.76,1171.25,1171.25,727400000,-0.003440768,1,0.013202988,-0.032215361,1,0.11,0.23,0.72,0.01,-0.08,-0.05,-0.02,-0.03,0.23,0.05,0.69,-0.25,1.6661007,-0.9107743,1
12/3/1998,1171.25,1176.99,1149.61,1150.14,1150.14,799100000,-0.018354287,1,0.013914393,0.060949145,2,0.13,0.22,0.71,0.03,-0.07,-0.05,-0.03,-0.02,0.23,0.04,0.71,-0.27,1.6568692,-0.91601497,1
12/4/1998,1150.14,1176.74,1150.14,1176.74,1176.74,709700000,0.022604823,2,0.013696314,-0.054174929,1,0.14,0.16,0.67,0.03,-0.02,-0.03,-0.03,-0.05,0.23,0.01,0.72,-0.29,1.614795,-0.9836967,1
12/7/1998,1176.74,1188.96,1176.71,1187.7,1187.7,671200000,0.00922792,1,0.013659594,-0.102536018,1,0.23,0.15,0.58,0.11,0.01,-0.04,-0.03,-0.04,0.23,-0.01,0.67,-0.31,1.6118567,-1.0296925,1
12/8/1998,1187.7,1193.53,1172.78,1181.38,1181.38,727700000,-0.005349676,1,0.01385583,-0.027277967,2,0.17,0.14,0.6,0.11,-0.05,-0.03,-0.03,-0.03,0.21,-0.01,0.69,-0.29,1.6398801,-1.0019629,1
12/9/1998,1181.38,1185.22,1175.89,1183.49,1183.49,694200000,0.001782863,2,0.013694243,-0.071428778,1,0.13,0.14,0.6,0.09,-0.06,-0.04,-0.02,-0.03,0.19,0,0.69,-0.28,1.6208915,-0.9911735,1
12/10/1998,1183.49,1183.77,1163.75,1165.02,1165.02,748600000,-0.015853805,1,0.013961563,0.002430195,2,0.05,0.14,0.62,0.05,-0.08,-0.06,-0.02,-0.04,0.18,0.02,0.71,-0.29,1.6590794,-0.9374197,1
12/11/1998,1165.02,1167.89,1153.19,1166.46,1166.46,688900000,0.001234504,2,0.01410207,-0.077397168,1,0.11,0.15,0.63,0.06,-0.07,-0.03,-0.04,-0.03,0.2,0.02,0.7,-0.29,1.6261407,-0.96342814,1
12/14/1998,1166.46,1166.46,1136.89,1141.2,1141.2,741800000,-0.022134595,1,0.015290046,-0.005376927,2,0.09,0.16,0.64,0.07,-0.09,-0.05,-0.03,-0.04,0.21,0.02,0.72,-0.31,1.6482875,-0.92476255,1
12/15/1998,1141.2,1162.83,1141.2,1162.83,1162.83,777900000,0.018601171,2,0.01537671,0.039125153,3,0.13,0.15,0.64,0.07,-0.07,-0.02,-0.03,-0.05,0.23,0,0.72,-0.31,1.6175865,-1.0060607,1
12/16/1998,1162.83,1166.29,1154.69,1161.94,1161.94,725500000,-0.00076596,1,0.01493924,-0.031530975,1,0.12,0.18,0.67,0.05,-0.07,-0.04,-0.02,-0.04,0.2,0.04,0.75,-0.32,1.6343423,-0.939771,1
12/17/1998,1161.94,1180.03,1161.94,1179.98,1179.98,739400000,0.015288395,2,0.014992203,-0.009443157,2,0.12,0.16,0.67,0.07,-0.08,-0.03,-0.03,-0.05,0.23,0.01,0.74,-0.31,1.6123937,-0.9753983,1
12/18/1998,1179.98,1188.89,1178.27,1188.03,1188.03,839600000,0.006775923,1,0.014888092,0.123946718,3,0.09,0.13,0.63,0.06,-0.07,-0.03,-0.02,-0.05,0.2,0,0.74,-0.31,1.6399176,-0.9768667,1
12/21/1998,1188.03,1210.88,1188.03,1202.84,1202.84,744800000,0.012312527,2,0.01519986,-0.003137058,1,0.13,0.08,0.62,0.11,-0.09,0.03,-0.04,-0.07,0.21,-0.02,0.74,-0.31,1.597002,-1.0135013,1
12/22/1998,1202.84,1209.22,1192.72,1203.57,1203.57,680500000,0.000606529,1,0.01485165,-0.088994911,1,0.2,0.11,0.63,0.12,-0.06,0.03,-0.03,-0.06,0.22,-0.02,0.75,-0.32,1.6076316,-0.9946548,1
12/23/1998,1203.57,1229.89,1203.57,1228.54,1228.54,697500000,0.020324939,2,0.01523475,-0.064930469,2,0.23,0.08,0.55,0.1,0.01,0.04,-0.02,-0.06,0.19,-0.03,0.7,-0.31,1.5695136,-1.0747198,1
12/24/1998,1228.54,1229.72,1224.85,1226.27,1226.27,246980000,-0.001851142,1,0.015143892,-0.664755103,1,0.29,0.08,0.49,0.13,0.02,0.06,-0.02,-0.02,0.15,-0.03,0.69,-0.32,1.6946101,-1.1304495,1
12/28/1998,1226.27,1231.52,1221.17,1225.49,1225.49,531560000,-0.00063648,2,0.015325298,-0.272413201,2,0.22,0.05,0.51,0.12,-0.03,0.08,-0.02,-0.05,0.16,-0.04,0.69,-0.3,1.6192372,-1.0329487,1
12/29/1998,1225.49,1241.86,1220.78,1241.81,1241.81,586490000,0.013142107,3,0.014801379,-0.191389565,3,0.12,0.11,0.52,0.05,-0.02,-0.02,0,0,0.15,-0.04,0.7,-0.29,1.5959487,-1.0453762,1
12/30/1998,1241.81,1244.93,1231.2,1231.93,1231.93,594220000,-0.008019936,1,0.014439132,-0.176506892,4,0.1,0.09,0.54,0.04,-0.05,0.02,-0.01,0,0.16,-0.06,0.75,-0.31,1.6509753,-0.97640675,1
12/31/1998,1231.93,1237.18,1224.96,1229.23,1229.23,719200000,-0.002196497,2,0.014255265,-0.000384076,5,0.17,0.11,0.53,0.07,-0.02,0.01,0.01,0.01,0.17,-0.08,0.74,-0.3,1.5895201,-1.1120459,1
1/4/1999,1229.23,1248.81,1219.1,1228.1,1228.1,877000000,-0.000920121,3,0.014363244,0.221772345,6,0.2,0.11,0.58,0.08,0.01,0,-0.01,0,0.18,-0.06,0.73,-0.27,1.5908624,-1.1153368,1
1/5/1999,1228.1,1246.11,1228.1,1244.78,1244.78,775000000,0.013399958,4,0.013825736,0.088254388,1,0.26,0.1,0.59,0.09,-0.01,0.08,0,-0.02,0.18,-0.06,0.74,-0.27,1.5321115,-1.127744,1
1/6/1999,1244.78,1272.5,1244.78,1272.34,1272.34,986900000,0.021660877,5,0.014134194,0.382284516,2,0.26,0.11,0.56,0.08,-0.02,0.09,0,-0.01,0.15,-0.03,0.69,-0.25,1.6041583,-1.0080813,1
1/7/1999,1272.34,1272.34,1257.68,1269.73,1269.73,863000000,-0.002055555,1,0.013923433,0.203915026,1,0.33,0.14,0.61,0.05,0.02,0.12,0,-0.01,0.2,-0.05,0.71,-0.25,1.5589163,-1.2039503,1
1/8/1999,1269.73,1278.24,1261.82,1275.09,1275.09,937800000,0.004203625,2,0.014142923,0.302072607,2,0.38,0.15,0.54,0.05,0.04,0.14,0,0.01,0.2,-0.06,0.71,-0.31,1.511331,-1.2545912,1
