Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
3/7/1960,54.02,54.02,54.02,54.02,54.02,2900000,-0.010181414,1,0.006867827,-0.072049491,1,-3.1327345,-0.41963857,1
3/8/1960,53.47,53.47,53.47,53.47,53.47,3370000,-0.010286142,1,0.006835609,0.077193543,2,-1.0831159,4.4279284,2
3/9/1960,54.04,54.04,54.04,54.04,54.04,3580000,0.010547742,2,0.006809771,0.140248434,3,1.3162134,0.26285774,0
3/10/1960,53.83,53.83,53.83,53.83,53.83,3350000,-0.00390117,1,0.006706298,0.065578116,1,-2.0666695,-0.39381424,1
3/11/1960,54.24,54.24,54.24,54.24,54.24,2770000,0.007558997,2,0.006747788,-0.115722267,1,-2.3252883,-5.2308764,3
3/14/1960,54.32,54.32,54.32,54.32,54.32,2530000,0.001472754,1,0.006553756,-0.189145879,1,-3.8851125,-1.1737155,1
3/15/1960,54.74,54.74,54.74,54.74,54.74,2690000,0.007672634,2,0.006622214,-0.136251739,2,5.4790697,1.3888018,0
3/16/1960,55.04,55.04,55.04,55.04,55.04,2960000,0.005450581,1,0.006458939,-0.048180503,3,2.326209,-3.6640825,0
3/17/1960,54.96,54.96,54.96,54.96,54.96,2140000,-0.001455604,1,0.006268195,-0.307592752,1,-4.4783206,-1.032942,1
3/18/1960,55.01,55.01,55.01,55.01,55.01,2620000,0.000908926,2,0.005608071,-0.150866958,2,5.6327896,1.4460366,0
3/21/1960,55.07,55.07,55.07,55.07,55.07,2500000,0.001089522,3,0.005256946,-0.188048068,1,5.3859,-1.7594705,0
3/22/1960,55.29,55.29,55.29,55.29,55.29,2490000,0.00397902,4,0.005163682,-0.192039371,1,1.6690539,3.2347636,0
3/23/1960,55.74,55.74,55.74,55.74,55.74,3020000,0.008073197,5,0.00534625,-0.021069692,2,1.7550709,2.8737137,0
3/24/1960,55.98,55.98,55.98,55.98,55.98,2940000,0.004287245,1,0.005367989,-0.046589558,1,-2.57714,-1.0030454,1
3/25/1960,55.98,55.98,55.98,55.98,55.98,2640000,0,1,0.005162558,-0.139036852,1,-3.487474,-1.3761635,1
3/28/1960,55.86,55.86,55.86,55.86,55.86,2500000,-0.002148228,1,0.005245256,-0.178847101,1,-3.7709897,-1.328602,1
3/29/1960,55.78,55.78,55.78,55.78,55.78,2320000,-0.001434206,2,0.005225887,-0.230939227,1,-2.251596,-5.9217505,3
3/30/1960,55.66,55.66,55.66,55.66,55.66,2450000,-0.002155947,1,0.00499461,-0.182151997,2,-1.6048405,5.529965,2
3/31/1960,55.34,55.34,55.34,55.34,55.34,2690000,-0.005782436,1,0.004553668,-0.096810297,3,2.2063065,-3.6473563,0
4/1/1960,55.43,55.43,55.43,55.43,55.43,2260000,0.001623669,2,0.00443803,-0.236701379,1,-2.2665749,-5.9152756,3
4/4/1960,55.54,55.54,55.54,55.54,55.54,2450000,0.001980555,3,0.004033129,-0.168599061,2,3.4728189,3.62249,0
4/5/1960,55.37,55.37,55.37,55.37,55.37,2840000,-0.003070255,1,0.003702366,-0.032807356,3,2.2907472,-3.6787677,0
4/6/1960,56.51,56.51,56.51,56.51,56.51,3450000,0.020173421,2,0.004132012,0.177005743,4,1.984382,0.17285694,0
4/7/1960,56.52,56.52,56.52,56.52,56.52,3070000,0.000176929,1,0.003954352,0.049752094,1,-1.9787426,-0.7952038,1
4/8/1960,56.39,56.39,56.39,56.39,56.39,2820000,-0.002305373,1,0.003715198,-0.03164883,1,-2.600991,-1.1855428,1
4/11/1960,56.17,56.17,56.17,56.17,56.17,2520000,-0.003916682,1,0.003854371,-0.130284728,1,-3.4479673,-1.3012837,1
4/12/1960,56.3,56.3,56.3,56.3,56.3,2470000,0.002309059,2,0.003587922,-0.144835545,1,-2.5450304,-5.6934776,3
4/13/1960,56.3,56.3,56.3,56.3,56.3,2730000,0,1,0.003321492,-0.052795929,2,-1.1454558,5.4333963,2
4/14/1960,56.43,56.43,56.43,56.43,56.43,2730000,0.002303739,2,0.003358143,-0.0528507,1,-2.931538,-5.176024,3
4/18/1960,56.59,56.59,56.59,56.59,56.59,3200000,0.002827355,3,0.003445838,0.10701107,2,3.394987,3.4419086,0
4/19/1960,56.13,56.13,56.13,56.13,56.13,3080000,-0.008195261,1,0.003830394,0.063107634,1,-2.216248,-0.49497175,1
4/20/1960,55.44,55.44,55.44,55.44,55.44,3150000,-0.012445887,1,0.004301948,0.085022102,2,-1.1244912,4.3578024,2
4/21/1960,55.59,55.59,55.59,55.59,55.59,2700000,0.002698327,2,0.004020507,-0.068054996,1,-2.8888533,-5.230133,3
4/22/1960,55.42,55.42,55.42,55.42,55.42,2850000,-0.003067485,1,0.003969686,-0.018482379,2,-1.0905085,5.3524704,2
4/25/1960,54.86,54.86,54.86,54.86,54.86,2980000,-0.010207802,1,0.004520598,0.024230968,3,2.1003385,-3.3523278,0
4/26/1960,55.04,55.04,55.04,55.04,55.04,2940000,0.003270349,2,0.00456032,0.011177988,1,-2.9563057,-4.75081,3
4/27/1960,55.04,55.04,55.04,55.04,55.04,3020000,0,1,0.004487645,0.037503579,2,-0.90989184,5.216099,2
4/28/1960,54.56,54.56,54.56,54.56,54.56,3190000,-0.008797654,1,0.004857038,0.095216297,3,2.1159241,-3.269068,0
4/29/1960,54.37,54.37,54.37,54.37,54.37,2850000,-0.003494574,2,0.00475446,-0.020562461,1,-2.8485963,-5.0499306,3
5/2/1960,54.13,54.13,54.13,54.13,54.13,2930000,-0.004433771,1,0.004914096,0.005030871,2,-1.0552477,5.2446847,2
5/3/1960,54.83,54.83,54.83,54.83,54.83,2910000,0.012766734,2,0.005389385,-0.003993155,1,-2.4989212,-4.548899,3
5/4/1960,55.04,55.04,55.04,55.04,55.04,2870000,0.003815407,1,0.00540516,-0.014986844,1,-2.455984,-0.93906957,1
5/5/1960,54.86,54.86,54.86,54.86,54.86,2670000,-0.003281079,1,0.00454794,-0.08263185,1,-2.948805,-1.2371358,1
5/6/1960,54.75,54.75,54.75,54.75,54.75,2560000,-0.002009132,2,0.004648402,-0.121030043,1,-2.6946895,-5.558988,3
5/9/1960,54.8,54.8,54.8,54.8,54.8,2670000,0.000912409,3,0.004571168,-0.083576454,2,3.473675,3.6134334,0
5/10/1960,54.42,54.42,54.42,54.42,54.42,2870000,-0.006982727,1,0.004750092,-0.018523796,3,2.1763134,-3.5315416,0
5/11/1960,54.57,54.57,54.57,54.57,54.57,2900000,0.002748763,2,0.00475536,-0.008942302,4,2.0171402,-0.010996969,0
5/12/1960,54.85,54.85,54.85,54.85,54.85,3220000,0.005104831,3,0.004986326,0.100729262,5,2.011572,1.3636464,0
5/13/1960,55.3,55.3,55.3,55.3,55.3,3750000,0.008137432,4,0.005235081,0.28527362,6,1.9846263,1.5427037,0
5/16/1960,55.25,55.25,55.25,55.25,55.25,3530000,-0.000904977,1,0.005140271,0.211739802,1,-1.5081542,0.04489088,1
5/17/1960,55.46,55.46,55.46,55.46,55.46,4080000,0.003786513,2,0.00489542,0.393759964,2,4.2325134,1.5256339,0
5/18/1960,55.44,55.44,55.44,55.44,55.44,5240000,-0.00036075,1,0.004292929,0.767086331,3,2.148646,-1.3234754,0
5/19/1960,55.68,55.68,55.68,55.68,55.68,3700000,0.004310345,2,0.004355244,0.241055456,1,-2.7036407,-4.014533,3
5/20/1960,55.73,55.73,55.73,55.73,55.73,3170000,0.000897183,1,0.004243675,0.065844774,1,-1.87366,-0.665059,1
5/23/1960,55.76,55.76,55.76,55.76,55.76,2530000,0.00053802,1,0.003766141,-0.14527027,1,-3.4403572,-1.4067934,1
5/24/1960,55.7,55.7,55.7,55.7,55.7,3240000,-0.001077199,1,0.003662478,0.093055946,2,-0.7653501,4.964974,2
5/25/1960,55.67,55.67,55.67,55.67,55.67,3440000,-0.00053889,2,0.003691396,0.15714526,3,1.2071586,0.17844316,0
5/26/1960,55.71,55.71,55.71,55.71,55.71,3720000,0.000718004,3,0.003293843,0.247066711,4,2.0445318,1.6346304,0
5/27/1960,55.74,55.74,55.74,55.74,55.74,3040000,0.000538213,1,0.003148547,0.019792016,1,-2.1341999,-0.9662992,1
5/31/1960,55.83,55.83,55.83,55.83,55.83,3750000,0.001612037,2,0.003009135,0.260151218,2,4.605376,1.6395378,0
6/1/1960,55.89,55.89,55.89,55.89,55.89,3770000,0.001073537,1,0.002433351,0.260729016,3,2.4063406,-3.0407228,0
6/2/1960,56.13,56.13,56.13,56.13,56.13,3730000,0.004275788,2,0.00244967,0.244854823,1,-2.7381964,-4.0351734,3
6/3/1960,56.23,56.23,56.23,56.23,56.23,3340000,0.00177841,1,0.002374177,0.116185808,1,-1.6816784,-0.44854534,1
6/6/1960,56.89,56.89,56.89,56.89,56.89,3220000,0.011601336,2,0.002830023,0.076863051,1,-2.6859198,-4.426093,3
6/7/1960,57.43,57.43,57.43,57.43,57.43,3710000,0.009402751,1,0.003230019,0.234266704,2,-0.60879856,4.4404955,2
6/8/1960,57.89,57.89,57.89,57.89,57.89,3800000,0.007946105,1,0.00327345,0.255368352,3,2.425522,-3.0425622,0
6/9/1960,58,58,58,58,58,3820000,0.001896552,1,0.003232759,0.254172367,1,-1.4401323,0.12387695,1
6/10/1960,57.97,57.97,57.97,57.97,57.97,2940000,-0.000517509,1,0.003018803,-0.034641274,1,-2.5374472,-1.2069026,1
6/13/1960,57.99,57.99,57.99,57.99,57.99,3180000,0.000344887,2,0.002647008,0.03825434,2,5.474565,1.6219072,0
6/14/1960,57.91,57.91,57.91,57.91,57.91,3430000,-0.001381454,1,0.002676567,0.114963701,3,2.382146,-3.4983652,0
6/15/1960,57.57,57.57,57.57,57.57,57.57,3630000,-0.005905854,1,0.002805281,0.172796295,4,2.217443,-1.5080343,0
6/16/1960,57.5,57.5,57.5,57.5,57.5,3540000,-0.001217391,2,0.002852174,0.137288499,1,-2.932878,-4.3307257,3
6/17/1960,57.44,57.44,57.44,57.44,57.44,3920000,-0.001044568,3,0.002698468,0.253330491,2,3.3046305,3.2606943,0
6/20/1960,57.16,57.16,57.16,57.16,57.16,3970000,-0.00489853,1,0.002912876,0.262388044,3,2.2562723,-2.9921715,0
6/21/1960,57.11,57.11,57.11,57.11,57.11,3860000,-0.000875503,2,0.002932936,0.219525038,1,-2.822357,-4.155658,3
6/22/1960,57.28,57.28,57.28,57.28,57.28,3600000,0.002967877,3,0.003020251,0.130830847,1,5.3861294,-1.5757459,0
6/23/1960,57.59,57.59,57.59,57.59,57.59,3620000,0.005382879,4,0.003247092,0.129426447,1,1.6881024,3.1875055,0
6/24/1960,57.68,57.68,57.68,57.68,57.68,3220000,0.001560333,1,0.003285368,0.000621504,1,-2.2829409,-1.0592608,1
6/27/1960,57.33,57.33,57.33,57.33,57.33,2960000,-0.006105006,1,0.003584511,-0.081458495,1,-3.0537584,-1.1011943,1
6/28/1960,56.94,56.94,56.94,56.94,56.94,3120000,-0.006849315,1,0.003872497,-0.036094949,2,-1.2799888,5.232097,2
6/29/1960,56.94,56.94,56.94,56.94,56.94,3160000,0,2,0.00381981,-0.027293249,3,1.0887042,0.16984709,0
6/30/1960,56.92,56.92,56.92,56.92,56.92,2940000,-0.00035137,1,0.003627899,-0.095477387,1,-2.9635103,-1.3617722,1
7/1/1960,57.06,57.06,57.06,57.06,57.06,2620000,0.002453558,2,0.003654048,-0.190483547,1,-2.3782842,-5.843681,3
7/5/1960,57.02,57.02,57.02,57.02,57.02,2780000,-0.000701508,1,0.003112943,-0.139762764,2,-1.5204105,5.5603843,2
7/6/1960,56.94,56.94,56.94,56.94,56.94,2970000,-0.001404988,1,0.002713383,-0.081679979,3,2.2958274,-3.71153,0
7/7/1960,57.24,57.24,57.24,57.24,57.24,3050000,0.00524109,2,0.002559399,-0.059512797,4,2.0017776,-0.002423271,0
7/8/1960,57.38,57.38,57.38,57.38,57.38,3010000,0.002439875,1,0.002579296,-0.074415744,1,-2.774785,-1.3047664,1
7/11/1960,56.87,56.87,56.87,56.87,56.87,2920000,-0.008967821,1,0.003024442,-0.102964518,1,-3.2586493,-0.98580027,1
7/12/1960,56.25,56.25,56.25,56.25,56.25,2860000,-0.011022222,1,0.003591111,-0.121981171,1,-3.3491166,-0.9056984,1
7/13/1960,56.1,56.1,56.1,56.1,56.1,2590000,-0.002673797,2,0.003663102,-0.202381563,1,-2.393697,-5.8657737,3
7/14/1960,56.12,56.12,56.12,56.12,56.12,2480000,0.000356379,3,0.003376693,-0.233897956,1,5.3774366,-1.7676204,0
7/15/1960,56.05,56.05,56.05,56.05,56.05,2140000,-0.001248885,1,0.00338091,-0.335472518,1,-4.4702005,-1.1102829,1
7/18/1960,55.7,55.7,55.7,55.7,55.7,2350000,-0.006283662,1,0.003662478,-0.268937626,2,-1.7446121,5.4139495,2
7/19/1960,55.7,55.7,55.7,55.7,55.7,2490000,0,2,0.003411131,-0.223936419,3,1.1591525,0.1733209,0
