,id,year,month,commodities_zscore,cpi_zscore,day_care_zscore,durables_zscore,education_zscore,energy_zscore,food_zscore,housing_zscore,meat_zscore,medical_care_zscore,motor_fuel_zscore,new_vehicles_zscore,used_vehicles_zscore,commodities_chg_zscore,cpi_chg_zscore,day_care_chg_zscore,durables_chg_zscore,education_chg_zscore,energy_chg_zscore,food_chg_zscore,housing_chg_zscore,meat_chg_zscore,medical_care_chg_zscore,motor_fuel_chg_zscore,new_vehicles_chg_zscore,used_vehicles_chg_zscore
1232,201509.0,2015.0,9,-1.1596386902821678,-0.5491515234248096,-0.19613662838761411,-0.9257772638370521,-0.07355040558928291,-1.6285694491254405,-0.7376127081515413,-0.7699138213144537,0.18138800348418316,-1.0702299210946402,-2.0364804682025275,-0.6553729823347152,-0.4989900508450774,-1.1443807255828993,-0.4341313782949289,1.252042134892666,-0.3617587485884301,1.0397747809518398,-1.847946847103877,0.3720760652811487,-0.12061570495152157,-0.3617482541782137,-0.1151502867869424,-1.8405134939716798,-0.10499047576053477,-0.996350203402123
1233,201510.0,2015.0,10,-1.1936850726128068,-0.5687263818318983,-0.2915079676722074,-0.9643294816056478,-0.13612797551982367,-1.844486629021849,-0.7338016598820968,-0.8182385713628626,0.01453188512155261,-0.9929254515687012,-2.1900078655640254,-0.6700324150347725,-0.6640291013094225,-0.4655733077356129,-0.2338823075413335,-0.5622414928403998,-0.7736953661900698,-0.3762798874014957,-1.0697710184662461,0.00784228397369505,-0.861250162247521,-0.6926088216330458,1.3846917904912541,-0.5609329048478234,-0.05643684367287423,-1.0848628034517749
1234,201511.0,2015.0,11,-1.2877323282009459,-0.6089541552817199,-0.38469404155674414,-1.0145717674630779,-0.21950128763396087,-1.9914260715480259,-0.8232775889338108,-0.8514651170000178,-0.19622044336203012,-0.9810291913708183,-2.34724801011681,-0.6442487757962069,-0.8163682076713554,-1.2864126592366674,-0.5004273978200033,-0.5501965322450098,-1.0056273395032844,-0.4936028080591794,-0.7332414968323892,-1.0058925575779483,-0.6047438834008197,-0.8710319935024478,0.24604915975347405,-0.5742307827481614,0.13619629428441934,-1.003251371282598
1235,201512.0,2015.0,12,-1.4007191980323006,-0.6644533423188981,-0.617027046215464,-1.0380762635692595,-0.3313586580742613,-2.158777244310783,-0.885794254024618,-0.8649551495720124,-0.49186235952961593,-1.0375339404482218,-2.5737882074620697,-0.6514553188091919,-0.85519346096825,-1.5455152327335944,-0.6975192032577633,-1.3171602603583863,-0.4751472523116668,-0.6543007473539495,-0.8328265234528777,-0.7129304961567551,-0.26943649280937954,-1.2160793096951517,-0.9446928884762993,-0.8224414992450713,-0.020938216628690474,-0.2737971276281112
1236,201601.0,2016.0,1,-1.413457917201163,-0.6531706554118353,-0.5735201054360529,-1.0005528272738633,-0.4362258514922467,-2.2308552590654456,-0.8543758939351618,-0.8264565033897932,-0.7548439754946538,-0.948454356481391,-2.724128076425387,-0.5853856768760789,-0.8343066275453984,-0.17407474342881776,0.16436303383157042,0.20324145988617826,0.7356522641293517,-0.6148644061581484,-0.3680065465823726,0.3078465790767241,0.613809101577996,-1.083326292059034,1.589675957187658,-0.5495161933781245,0.3280813006109415,0.10992022385873688
1237,201602.0,2016.0,2,-1.44296470361992,-0.6528570341449081,-0.592167256296379,-0.951185067963161,-0.509521013456357,-2.473836219624936,-0.8673981051806234,-0.8122054658641406,-0.8098164885882355,-0.820261535703052,-3.094846180308192,-0.5014539229705198,-0.7436443992499684,-0.403469562205211,0.022797032844635117,-0.1393455707891538,0.970644668675131,-0.436745110940752,-1.201810159026417,-0.17508208722115423,0.2018618462612622,-0.23784000042313863,2.2705690639895,-1.338840838678111,0.4131597705406906,0.5583056545189724
1238,201603.0,2016.0,3,-1.338111976927583,-0.6080799485269545,-0.6294770287999271,-0.9153208757457335,-0.5976838784765497,-2.183226951095652,-0.9577586836797171,-0.8071546967688907,-0.8601950440173619,-0.856500814593295,-2.654442810189132,-0.5198073430793172,-0.6074830394563405,1.4346299457268845,0.596639422406832,-0.24221204288607576,0.7027327165025026,-0.5206239324134796,1.401477095525389,-1.0155059033323168,0.045556728434513645,-0.21916712420746232,-0.5919064642017444,1.5663379326993168,-0.07403156019688723,0.8506887747971453
1239,201604.0,2016.0,4,-1.228761198773594,-0.5590968337902447,-0.6866116543192449,-0.8930694969998805,-0.643120414142449,-1.9087339282769284,-0.9516165013746742,-0.8140732112249535,-0.8789662063094134,-0.8475267996081386,-2.223719026306402,-0.5713975402404909,-0.526809285794661,1.4961653442027623,0.6509221427324574,-0.35148461608389964,0.4326533066295537,-0.2795756589461411,1.3228489371328025,0.03317434917800842,-0.15779171622688096,-0.09069381586259682,0.1951779769025396,1.5316687378242746,-0.23234061913540663,0.49411846491622086
1240,201605.0,2016.0,5,-1.179943666087903,-0.5205361149309218,-0.745623809026266,-0.9209039730809391,-0.7013828089860835,-1.6259259832052277,-1.0181204719478314,-0.76995667320607,-1.0183343452454487,-0.8447950692330568,-1.8763089508903636,-0.6115550667126675,-0.5442582627322874,0.6680428976975292,0.5164114238189227,-0.36183336598036403,-0.5610544337197096,-0.35193505085392335,1.3634158927173003,-0.7562599147684466,0.7092525391374924,-0.5808795296495226,0.08651070954806454,1.2332655701606294,-0.17788602099320389,-0.1364304971881657
1241,201606.0,2016.0,6,-1.1654661536784197,-0.4929909224657307,-0.776632062126199,-0.966549489712893,-0.7231506298333744,-1.3374755489397427,-1.0712325429344038,-0.6958308431334771,-1.0954387061149924,-0.8585709253333217,-1.622833561087986,-0.668013990689044,-0.6007247065863438,0.19825573554932047,0.37424580356067744,-0.20747870893695147,-0.9144270360295658,-0.14604434632372754,1.3909445456073843,-0.6107322581187479,1.2190861343021824,-0.32779843803397557,-0.20085752579296545,0.8968214452203583,-0.2555307003857296,-0.3871616286786222
