,pct_dif_1,price_days,atr_pct,volume_pct,volume_days,x,y,class
21800,0.019198673040468135,2.0,0.015890288881562655,0.19651431168269162,2,3.2758512,0.090064704,0
21801,-0.007352979331745502,1.0,0.016041378022012217,0.12568660455392897,1,-2.6304443,-1.4509819,1
21802,0.01215386350355237,2.0,0.015911257830040687,0.13193659362736948,2,3.6584165,-0.029262062,0
21803,0.007004041576316562,1.0,0.01576469270785612,-0.07528511901981508,1,-3.2818797,-2.1066372,1
21804,-0.0015038513888958763,1.0,0.01564719136636368,0.06437497678448893,2,2.0653632,-3.9017303,3
21805,0.011798191481322811,2.0,0.01564419032266189,0.0955955823619765,3,1.0560172,-0.91398036,0
21806,-0.001387277405034556,1.0,0.015458810472683241,0.12015794146614349,4,2.569304,-1.0625067,0
21807,0.0061915624294989775,2.0,0.01532198631338831,0.07372632321902427,1,-1.3783764,3.710437,2
21808,0.011595351948663245,3.0,0.015107653427813976,0.27837778902145627,2,-0.2398829,1.2185911,2
21809,-0.00011894083189200623,1.0,0.01489560464067479,0.055498757431426876,1,-3.004852,-1.4490099,1
21810,-0.0028378311217136507,1.0,0.014611102827891255,0.1677218729901584,2,2.3393087,-3.606426,3
21811,0.005668200259936661,2.0,0.013702021674565251,0.10545886207911788,1,-1.6638734,3.7617903,2
21812,0.003761304838003013,1.0,0.013020810255955808,0.07205216595862315,1,-3.406353,-1.2015681,1
21813,0.00034942320563803516,1.0,0.012481298476317963,0.07639585746775507,2,2.6506562,-4.053818,3
21814,0.0031104962075495365,2.0,0.011720781450845331,-0.046664289491214116,1,-1.6209228,4.5335703,2
21815,0.0006961876372764712,1.0,0.011199796046438656,-0.14278147271482858,1,-4.4146943,-2.369374,1
21816,-0.0007015822396664117,1.0,0.010013982583098243,-0.06190739861252113,2,2.6295173,-4.753018,3
