,Date,ten_3mo,ten_two,thirty_five
1095,1994-05-19,2.7199999999999998,1.2299999999999995,0.7200000000000006
1096,1994-05-20,2.76,1.2199999999999998,0.71
1097,1994-05-23,2.8400000000000007,1.25,0.6800000000000006
1098,1994-05-24,2.8499999999999996,1.2299999999999995,0.6600000000000001
1099,1994-05-25,2.8599999999999994,1.1899999999999995,0.6299999999999999
1100,1994-05-26,2.8200000000000003,1.17,0.6799999999999997
1101,1994-05-27,2.8200000000000003,1.1500000000000004,0.6699999999999999
1102,1994-05-31,2.8600000000000003,1.1600000000000001,0.6700000000000008
1103,1994-06-01,2.84,1.1399999999999997,0.6499999999999995
1104,1994-06-02,2.83,1.1400000000000006,0.6699999999999999
1105,1994-06-03,2.75,1.1400000000000006,0.6699999999999999
1106,1994-06-06,2.66,1.13,0.7199999999999998
1107,1994-06-07,2.7300000000000004,1.1500000000000004,0.7299999999999995
1108,1994-06-08,2.75,1.1799999999999997,0.75
1109,1994-06-09,2.75,1.1800000000000006,0.7400000000000002
1110,1994-06-10,2.8100000000000005,1.1800000000000006,0.7200000000000006
1111,1994-06-13,2.83,1.1600000000000001,0.7000000000000002
1112,1994-06-14,2.79,1.1900000000000004,0.7299999999999995
1113,1994-06-15,2.869999999999999,1.2199999999999998,0.7400000000000002
1114,1994-06-16,2.8500000000000005,1.2400000000000002,0.7299999999999995
1115,1994-06-17,2.9099999999999993,1.2599999999999998,0.7400000000000002
1116,1994-06-20,2.88,1.2400000000000002,0.7199999999999998
1117,1994-06-21,2.92,1.1799999999999997,0.6899999999999995
1118,1994-06-22,2.8499999999999996,1.1600000000000001,0.6600000000000001
1119,1994-06-23,2.84,1.1599999999999993,0.7000000000000002
1120,1994-06-24,2.9399999999999995,1.1600000000000001,0.71
1121,1994-06-27,2.8999999999999995,1.13,0.6699999999999999
1122,1994-06-28,2.9799999999999995,1.13,0.6500000000000004
1123,1994-06-29,2.99,1.12,0.6399999999999997
1124,1994-06-30,3.08,1.1499999999999995,0.6600000000000001
1125,1994-07-01,3.0199999999999996,1.1499999999999995,0.6699999999999999
1126,1994-07-05,2.8899999999999997,1.17,0.6699999999999999
1127,1994-07-06,2.9300000000000006,1.21,0.6900000000000004
1128,1994-07-07,2.9399999999999995,1.1899999999999995,0.71
1129,1994-07-08,2.9299999999999997,1.17,0.6600000000000001
1130,1994-07-11,2.8599999999999994,1.1799999999999997,0.6400000000000006
1131,1994-07-12,2.87,1.1899999999999995,0.6600000000000001
1132,1994-07-13,2.8900000000000006,1.1900000000000004,0.6600000000000001
1133,1994-07-14,2.84,1.2000000000000002,0.6900000000000004
1134,1994-07-15,2.87,1.21,0.71
1135,1994-07-18,2.8,1.21,0.7199999999999998
1136,1994-07-19,2.7800000000000002,1.21,0.7399999999999993
1137,1994-07-20,2.84,1.1900000000000004,0.71
1138,1994-07-21,2.829999999999999,1.1599999999999993,0.6600000000000001
1139,1994-07-22,2.79,1.1399999999999997,0.6399999999999997
1140,1994-07-25,2.7399999999999993,1.1399999999999997,0.6299999999999999
1141,1994-07-26,2.7600000000000007,1.12,0.6499999999999995
1142,1994-07-27,2.7699999999999996,1.12,0.6099999999999994
1143,1994-07-28,2.75,1.08,0.6099999999999994
1144,1994-07-29,2.7300000000000004,1.13,0.6599999999999993
1145,1994-08-01,2.6799999999999997,1.0999999999999996,0.6600000000000001
1146,1994-08-02,2.67,1.13,0.6699999999999999
1147,1994-08-03,2.6499999999999995,1.13,0.6799999999999997
1148,1994-08-04,2.6900000000000004,1.1399999999999997,0.6800000000000006
1149,1994-08-05,2.6900000000000004,1.1000000000000005,0.6100000000000003
1150,1994-08-08,2.6900000000000004,1.0600000000000005,0.6000000000000005
1151,1994-08-09,2.7700000000000005,1.0700000000000003,0.6000000000000005
1152,1994-08-10,2.8099999999999996,1.0899999999999999,0.6299999999999999
1153,1994-08-11,2.9000000000000004,1.1000000000000005,0.5599999999999996
1154,1994-08-12,2.76,1.0499999999999998,0.54
