,Date,Open,High,Low,Close,Adj_Close,Volume,pct_dif_1
7339,1957-05-10,46.59,46.59,46.59,46.59,46.59,2430000.0,0.00493668169135016
7340,1957-05-13,46.88,46.88,46.88,46.88,46.88,2720000.0,0.006186006825938548
7341,1957-05-14,46.67,46.67,46.67,46.67,46.67,2580000.0,-0.004499678594386133
7342,1957-05-15,46.83,46.83,46.83,46.83,46.83,2590000.0,0.0034166132820840616
7343,1957-05-16,47.02,47.02,47.02,47.02,47.02,2690000.0,0.004040833687792531
7344,1957-05-17,47.15,47.15,47.15,47.15,47.15,2510000.0,0.002757158006362576
7345,1957-05-20,47.35,47.35,47.35,47.35,47.35,2300000.0,0.004223864836325297
7346,1957-05-21,47.33,47.33,47.33,47.33,47.33,2370000.0,-0.0004225649693641058
7347,1957-05-22,47.14,47.14,47.14,47.14,47.14,2060000.0,-0.004030547305897279
7348,1957-05-23,47.15,47.15,47.15,47.15,47.15,2110000.0,0.00021208907741247107
7349,1957-05-24,47.21,47.21,47.21,47.21,47.21,2340000.0,0.0012709171785639118
7350,1957-05-27,46.78,46.78,46.78,46.78,46.78,2290000.0,-0.009191962377084218
7351,1957-05-28,46.69,46.69,46.69,46.69,46.69,2070000.0,-0.0019276076247591223
7352,1957-05-29,47.11,47.11,47.11,47.11,47.11,2270000.0,0.00891530460624075
7353,1957-05-31,47.43,47.43,47.43,47.43,47.43,2050000.0,0.006746784735399542
7354,1957-06-03,47.37,47.37,47.37,47.37,47.37,2050000.0,-0.001266624445851853
7355,1957-06-04,47.28,47.28,47.28,47.28,47.28,2200000.0,-0.0019035532994923076
7356,1957-06-05,47.27,47.27,47.27,47.27,47.27,1940000.0,-0.000211550666384557
7357,1957-06-06,47.8,47.8,47.8,47.8,47.8,2300000.0,0.011087866108786487
7358,1957-06-07,47.85,47.85,47.85,47.85,47.85,2380000.0,0.001044932079414927
7359,1957-06-10,47.9,47.9,47.9,47.9,47.9,2050000.0,0.001043841336116851
7360,1957-06-11,47.94,47.94,47.94,47.94,47.94,2850000.0,0.0008343763037129568
7361,1957-06-12,48.05,48.05,48.05,48.05,48.05,2600000.0,0.002289281997918823
7362,1957-06-13,48.14,48.14,48.14,48.14,48.14,2630000.0,0.0018695471541338472
7363,1957-06-14,48.15,48.15,48.15,48.15,48.15,2090000.0,0.00020768431983381124
7364,1957-06-17,48.24,48.24,48.24,48.24,48.24,2220000.0,0.0018656716417911154
7365,1957-06-18,48.04,48.04,48.04,48.04,48.04,2440000.0,-0.004163197335553765
7366,1957-06-19,47.72,47.72,47.72,47.72,47.72,2220000.0,-0.00670578373847444
7367,1957-06-20,47.43,47.43,47.43,47.43,47.43,2050000.0,-0.0061142736664558115
7368,1957-06-21,47.15,47.15,47.15,47.15,47.15,1970000.0,-0.005938494167550395
7369,1957-06-24,46.78,46.78,46.78,46.78,46.78,2040000.0,-0.007909362975630557
7370,1957-06-25,47.15,47.15,47.15,47.15,47.15,2000000.0,0.007847295864262936
7371,1957-06-26,47.09,47.09,47.09,47.09,47.09,1870000.0,-0.0012741558717348728
7372,1957-06-27,47.26,47.26,47.26,47.26,47.26,1800000.0,0.003597122302158159
7373,1957-06-28,47.37,47.37,47.37,47.37,47.37,1770000.0,0.0023221448173949637
7374,1957-07-01,47.43,47.43,47.43,47.43,47.43,1840000.0,0.001265022137887461
7375,1957-07-02,47.9,47.9,47.9,47.9,47.9,2450000.0,0.009812108559498933
7376,1957-07-03,48.46,48.46,48.46,48.46,48.46,2720000.0,0.011555922410235292
7377,1957-07-05,48.69,48.69,48.69,48.69,48.69,2240000.0,0.004723762579585067
7378,1957-07-08,48.9,48.9,48.9,48.9,48.9,2840000.0,0.00429447852760738
7379,1957-07-09,48.9,48.9,48.9,48.9,48.9,2450000.0,0.0
7380,1957-07-10,49.0,49.0,49.0,49.0,49.0,2880000.0,0.002040816326530641
7381,1957-07-11,48.86,48.86,48.86,48.86,48.86,2830000.0,-0.0028653295128939944
7382,1957-07-12,49.08,49.08,49.08,49.08,49.08,2240000.0,0.004482477587612039
